FlashID,PointID,I,V,T,PiraV,PiraT,,Power Curve [W],Pmpp [W],"Isc @ G1, T1 [A]","Voc @ G1, T1 [V]",,I Corrected [A],V Corrected [V],P Corrected [W],,Measured Parameters,,,,Irradiance [W/m2],TDUT [C],Voc [V],Isc [A],Pmpp [W],Vmpp [V],Impp [A],FF [%],Mod. Eff [%]
1662,NaN,1.528836625,0,NaN,NaN,NaN,,0,27.55069331,1.528836625,22.72015739,,1.46839725,-0.14928105,-0.219203884,,G1,1041.79,[W/m2],,1041.79,23.8,22.57,1.468,26.3,18.91,1.388,79.22%,12.95%
1662,0,1.527199984,0.500999987,23.79000092,0.073973298,23.20000076,,0.765127172,,,,,1.46682531,0.351718937,0.515910238,,T1,23.79,˚C,,,,,,,,,,
1662,1,1.528499961,0.832000017,23.79000092,0.073973298,23.20000076,,1.271711994,,,,,1.468073895,0.682718967,1.002281893,,,,,,,,,,,,,,
1662,2,1.528900027,1.192999959,23.79000092,0.073973298,23.20000076,,1.82397767,,,,,1.468458146,1.043718909,1.532657533,,Desired Conditions:,,,,,,,,,,,,
1662,3,1.529199958,1.539999962,23.79000092,0.073973298,23.20000076,,2.354967877,,,,,1.468746219,1.390718912,2.042613143,,G2,1000,[W/m2],,,,,,,,,,
1662,4,1.528499961,1.912999988,23.79000092,0.073973298,23.20000076,,2.924020406,,,,,1.468073895,1.763718937,2.58926973,,T2,25,˚C,,,,,,,,,,
1662,5,1.528499961,2.279999971,23.79000092,0.073973298,23.20000076,,3.484979867,,,,,1.468073895,2.130718921,3.128052826,,,,,,,,,,,,,,
1662,6,1.528100014,2.644999981,23.79000092,0.073973298,23.20000076,,4.041824507,,,,,1.467689759,2.495718931,3.662941116,,Relative (used in Proc. 2),,,,,,,,,,,,
1662,7,1.527699947,3.006000042,23.79000092,0.073973298,23.20000076,,4.592266106,,,,,1.467305509,2.856718992,4.191679513,,,,,,,,,,,,,,
1662,8,1.527199984,3.371000052,23.79000092,0.073973298,23.20000076,,5.148191223,,,,,1.46682531,3.221719001,4.725698972,,alpha REL,0.05,[%/˚C],,,,,,,,,,
1662,9,1.52760005,3.736000061,23.79000092,0.073973298,23.20000076,,5.70711388,,,,,1.46720956,3.586719011,5.262468423,,beta REL,-0.34,[%/˚C],,,,,,,,,,
1662,10,1.526800036,4.047999859,23.79000092,0.073973298,23.20000076,,6.180486332,,,,,1.466441174,3.898718809,5.717241786,,,,,,,,,,,,,,
1662,11,1.5273,4.359000206,23.79000092,0.073973298,23.20000076,,6.657501015,,,,,1.466921373,4.209719156,6.175327002,,Procedure 2,,,,,,,,,,,,
1662,12,1.527899981,4.717999935,23.79000092,0.073973298,23.20000076,,7.208632009,,,,,1.467497634,4.568718885,6.704584153,,Rs',0,[Ω],,,,,,,,,,
1662,13,1.527199984,5.065999985,23.79000092,0.073973298,23.20000076,,7.736795094,,,,,1.46682531,4.916718934,7.211967774,,κ',0,[mΩ/˚C],,,,,,,,,,
1662,14,1.5273,5.410999775,23.79000092,0.073973298,23.20000076,,8.264219957,,,,,1.466921373,5.261718725,7.718527653,,a,0.06,,,,,,,,,,,
1662,15,1.5273,5.743000031,23.79000092,0.073973298,23.20000076,,8.771283948,,,,,1.466921373,5.59371898,8.205545924,,,,,,,,,,,,,,
1662,16,1.525900006,6.078000069,23.79000092,0.073973298,23.20000076,,9.274420343,,,,,1.465576724,5.928719018,8.688992599,,,,,,,,,,,,,,
1662,17,1.525500059,6.375999928,23.79000092,0.073973298,23.20000076,,9.726588266,,,,,1.465192588,6.226718877,9.123342349,,Cell Area:,0.004056, [m2],,,,,,,,,,
1662,18,1.526305556,6.672999859,23.79000092,0.073973298,23.20000076,,10.18503676,,,,,1.465966242,6.523718809,9.563551545,,Module Area:,0.2027, [m2],,,,,,,,,,
1662,19,1.524799943,6.968999863,23.79000092,0.073973298,23.20000076,,10.62633059,,,,,1.46452015,6.819718812,9.987615617,,,,,,,,,,,,,,
1662,20,1.524799943,7.245999813,23.79000092,0.073973298,23.20000076,,11.0487001,,,,,1.46452015,7.096718763,10.39328763,,,,,,,,,,,,,,
1662,21,1.526858568,7.624000073,23.79000092,0.073973298,23.20000076,,11.64076983,,,,,1.466497392,7.474719022,10.96165595,,,,,,,,,,,,,,
1662,22,1.525400043,8.020999908,23.79000092,0.073973298,23.20000076,,12.2352336,,,,,1.465096526,7.871718858,11.53282795,,,,,,,,,,,,,,
1662,23,1.525500059,8.331000328,23.79000092,0.073973298,23.20000076,,12.70894149,,,,,1.465192588,8.181719278,11.98779445,,,,,,,,,,,,,,
1662,24,1.526200056,8.605999947,23.79000092,0.073973298,23.20000076,,13.1344776,,,,,1.465864912,8.456718896,12.3964075,,,,,,,,,,,,,,
1662,25,1.525599957,8.892999649,23.79000092,0.073973298,23.20000076,,13.56715988,,,,,1.465288537,8.743718599,12.81207063,,,,,,,,,,,,,,
1662,26,1.524799943,9.173999786,23.79000092,0.073973298,23.20000076,,13.98851435,,,,,1.46452015,9.024718736,13.21688244,,,,,,,,,,,,,,
1662,27,1.525099993,9.454000473,23.79000092,0.073973298,23.20000076,,14.41829605,,,,,1.464808338,9.304719423,13.62963059,,,,,,,,,,,,,,
1662,28,1.525099993,9.734000206,23.79000092,0.073973298,23.20000076,,14.84532364,,,,,1.464808338,9.584719156,14.03977654,,,,,,,,,,,,,,
1662,29,1.524199963,10.0010004,23.79000092,0.073973298,23.20000076,,15.24352444,,,,,1.463943888,9.851719354,14.42236434,,,,,,,,,,,,,,
1662,30,1.524299979,10.27299976,23.79000092,0.073973298,23.20000076,,15.65913333,,,,,1.464039951,10.12371871,14.82152865,,,,,,,,,,,,,,
1662,31,1.524500012,10.5170002,23.79000092,0.073973298,23.20000076,,16.03316693,,,,,1.464232076,10.36771915,15.18074694,,,,,,,,,,,,,,
1662,32,1.524299979,10.77400017,23.79000092,0.073973298,23.20000076,,16.42280823,,,,,1.464039951,10.62471912,15.55501326,,,,,,,,,,,,,,
1662,33,1.524099946,11.02000046,23.79000092,0.073973298,23.20000076,,16.7955821,,,,,1.463847826,10.87071941,15.91307897,,,,,,,,,,,,,,
1662,34,1.524099946,11.25500011,23.79000092,0.073973298,23.20000076,,17.15374507,,,,,1.463847826,11.10571906,16.25708271,,,,,,,,,,,,,,
1662,35,1.523727536,11.4829998,23.79000092,0.073973298,23.20000076,,17.496963,,,,,1.463490138,11.33371875,16.58678563,,,,,,,,,,,,,,
1662,36,1.522600055,11.70800018,23.79000092,0.073973298,23.20000076,,17.82660172,,,,,1.46240723,11.55871913,16.90355442,,,,,,,,,,,,,,
1662,37,1.523139238,11.92700005,23.79000092,0.073973298,23.20000076,,18.16648177,,,,,1.462925098,11.777719,17.22992071,,,,,,,,,,,,,,
1662,38,1.523000002,12.12699986,23.79000092,0.073973298,23.20000076,,18.4694208,,,,,1.462791366,11.9777188,17.52090365,,,,,,,,,,,,,,
1662,39,1.523100019,12.33500004,23.79000092,0.073973298,23.20000076,,18.78743879,,,,,1.462887428,12.18571899,17.82633511,,,,,,,,,,,,,,
1662,40,1.523000002,12.54899979,23.79000092,0.073973298,23.20000076,,19.1121267,,,,,1.462791366,12.39971874,18.1382015,,,,,,,,,,,,,,
1662,41,1.522799969,12.74600029,23.79000092,0.073973298,23.20000076,,19.40960884,,,,,1.46259924,12.59671924,18.42395199,,,,,,,,,,,,,,
1662,42,1.522750139,12.93299961,23.79000092,0.073973298,23.20000076,,19.69372696,,,,,1.462551381,12.78371856,18.69684523,,,,,,,,,,,,,,
1662,43,1.52221942,13.11600018,23.79000092,0.073973298,23.20000076,,19.96543017,,,,,1.462041642,12.96671912,18.95788332,,,,,,,,,,,,,,
1662,44,1.521299958,13.29199982,23.79000092,0.073973298,23.20000076,,20.22111877,,,,,1.46115853,13.14271877,19.20359563,,,,,,,,,,,,,,
1662,45,1.521654844,13.44299984,23.79000092,0.073973298,23.20000076,,20.45560583,,,,,1.461499386,13.29371879,19.42876185,,,,,,,,,,,,,,
1662,46,1.521700025,13.59899998,23.79000092,0.073973298,23.20000076,,20.6935986,,,,,1.46154278,13.44971893,19.65733959,,,,,,,,,,,,,,
1662,47,1.521800041,13.75899983,23.79000092,0.073973298,23.20000076,,20.9384465,,,,,1.461638843,13.60971877,19.8924936,,,,,,,,,,,,,,
1662,48,1.521600008,13.91100025,23.79000092,0.073973298,23.20000076,,21.16697809,,,,,1.461446718,13.7617192,20.11201936,,,,,,,,,,,,,,
1662,49,1.521352291,14.05599976,23.79000092,0.073973298,23.20000076,,21.38412743,,,,,1.461208794,13.90671871,20.32061966,,,,,,,,,,,,,,
1662,50,1.520866871,14.18900013,23.79000092,0.073973298,23.20000076,,21.57958023,,,,,1.460742564,14.03971908,20.50841524,,,,,,,,,,,,,,
1662,51,1.520400047,14.28100014,23.79000092,0.073973298,23.20000076,,21.71283328,,,,,1.460294195,14.13171909,20.63646735,,,,,,,,,,,,,,
1662,52,1.520437837,14.39999962,23.79000092,0.073973298,23.20000076,,21.89430427,,,,,1.46033049,14.25071857,20.81075883,,,,,,,,,,,,,,
1662,53,1.52031076,14.51399994,23.79000092,0.073973298,23.20000076,,22.06579027,,,,,1.460208437,14.36471889,20.97548372,,,,,,,,,,,,,,
1662,54,1.519999981,14.62300015,23.79000092,0.073973298,23.20000076,,22.22695994,,,,,1.459909944,14.47371909,21.13032644,,,,,,,,,,,,,,
1662,55,1.520002484,14.71500015,23.79000092,0.073973298,23.20000076,,22.36683679,,,,,1.459912349,14.5657191,21.26467319,,,,,,,,,,,,,,
1662,56,1.519812107,14.80500031,23.79000092,0.073973298,23.20000076,,22.50081871,,,,,1.459729498,14.65571925,21.39338571,,,,,,,,,,,,,,
1662,57,1.519600034,14.8739996,23.79000092,0.073973298,23.20000076,,22.60253029,,,,,1.459525808,14.72471855,21.49110674,,,,,,,,,,,,,,
1662,58,1.519333124,14.93200016,23.79000092,0.073973298,23.20000076,,22.68668245,,,,,1.45926945,14.78271911,21.57197039,,,,,,,,,,,,,,
1662,59,1.519099951,14.97700024,23.79000092,0.073973298,23.20000076,,22.75156032,,,,,1.459045495,14.82771919,21.63431688,,,,,,,,,,,,,,
1662,60,1.519099951,15.00899983,23.79000092,0.073973298,23.20000076,,22.8001709,,,,,1.459045495,14.85971877,21.68100574,,,,,,,,,,,,,,
1662,61,1.519049764,15.10200024,23.79000092,0.073973298,23.20000076,,22.94068989,,,,,1.458997292,14.95271919,21.8159768,,,,,,,,,,,,,,
1662,62,1.518652558,15.2869997,23.79000092,0.073973298,23.20000076,,23.21564121,,,,,1.458615789,15.13771865,22.08011544,,,,,,,,,,,,,,
1662,63,1.518300057,15.35599995,23.79000092,0.073973298,23.20000076,,23.31501559,,,,,1.458277223,15.2067189,22.1756118,,,,,,,,,,,,,,
1662,64,1.518497944,15.41699982,23.79000092,0.073973298,23.20000076,,23.41068252,,,,,1.458467287,15.26771877,22.26746837,,,,,,,,,,,,,,
1662,65,1.518651605,15.47799969,23.79000092,0.073973298,23.20000076,,23.50568906,,,,,1.458614873,15.32871864,22.35869699,,,,,,,,,,,,,,
1662,66,1.518433571,15.52700043,23.79000092,0.073973298,23.20000076,,23.5767187,,,,,1.458405459,15.37771938,22.42694989,,,,,,,,,,,,,,
1662,67,1.51820004,15.57400036,23.79000092,0.073973298,23.20000076,,23.64444797,,,,,1.45818116,15.42471931,22.4920351,,,,,,,,,,,,,,
1662,68,1.518018961,15.625,23.79000092,0.073973298,23.20000076,,23.71904627,,,,,1.45800724,15.47571895,22.56371027,,,,,,,,,,,,,,
1662,69,1.517852902,15.66600037,23.79000092,0.073973298,23.20000076,,23.77868412,,,,,1.457847746,15.51671932,22.62101428,,,,,,,,,,,,,,
1662,70,1.517391324,15.70899963,23.79000092,0.073973298,23.20000076,,23.83669975,,,,,1.457404415,15.55971858,22.67680256,,,,,,,,,,,,,,
1662,71,1.516899943,15.75300026,23.79000092,0.073973298,23.20000076,,23.8957252,,,,,1.45693246,15.60371921,22.73356502,,,,,,,,,,,,,,
1662,72,1.517051935,15.79300022,23.79000092,0.073973298,23.20000076,,23.95880155,,,,,1.457078443,15.64371917,22.79412598,,,,,,,,,,,,,,
1662,73,1.517072678,15.82900047,23.79000092,0.073973298,23.20000076,,24.01374413,,,,,1.457098366,15.67971942,22.84689355,,,,,,,,,,,,,,
1662,74,1.517004609,15.86800003,23.79000092,0.073973298,23.20000076,,24.07182918,,,,,1.457032988,15.71871898,22.90269209,,,,,,,,,,,,,,
1662,75,1.516819358,15.91100025,23.79000092,0.073973298,23.20000076,,24.13411319,,,,,1.456855061,15.7617192,22.96254038,,,,,,,,,,,,,,
1662,76,1.516600013,15.95400047,23.79000092,0.073973298,23.20000076,,24.19583732,,,,,1.456644387,15.80471942,23.02185583,,,,,,,,,,,,,,
1662,77,1.516624808,15.99300003,23.79000092,0.073973298,23.20000076,,24.25538061,,,,,1.456668202,15.84371898,23.07904164,,,,,,,,,,,,,,
1662,78,1.516542077,16.0340004,23.79000092,0.073973298,23.20000076,,24.31623627,,,,,1.456588742,15.88471935,23.13750336,,,,,,,,,,,,,,
1662,79,1.516450524,16.06599999,23.79000092,0.073973298,23.20000076,,24.3632941,,,,,1.456500808,15.91671893,23.18271399,,,,,,,,,,,,,,
1662,80,1.516210914,16.09799957,23.79000092,0.073973298,23.20000076,,24.40796264,,,,,1.45627067,15.94871852,23.22565101,,,,,,,,,,,,,,
1662,81,1.516000032,16.125,23.79000092,0.073973298,23.20000076,,24.44550052,,,,,1.456068125,15.97571895,23.26173514,,,,,,,,,,,,,,
1662,82,1.515935898,16.15500069,23.79000092,0.073973298,23.20000076,,24.48994547,,,,,1.456006526,16.00571964,23.30443225,,,,,,,,,,,,,,
1662,83,1.515753627,16.18799973,23.79000092,0.073973298,23.20000076,,24.53701929,,,,,1.455831461,16.03871867,23.34967124,,,,,,,,,,,,,,
1662,84,1.515539169,16.22400093,23.79000092,0.073973298,23.20000076,,24.58810889,,,,,1.455625482,16.07471988,23.39877187,,,,,,,,,,,,,,
1662,85,1.51515758,16.25799942,23.79000092,0.073973298,23.20000076,,24.63343106,,,,,1.455258978,16.10871837,23.44235703,,,,,,,,,,,,,,
1662,86,1.514799953,16.28899956,23.79000092,0.073973298,23.20000076,,24.67457576,,,,,1.454915488,16.13971851,23.48192643,,,,,,,,,,,,,,
1662,87,1.514869571,16.31500053,23.79000092,0.073973298,23.20000076,,24.71509785,,,,,1.454982354,16.16571948,23.52083659,,,,,,,,,,,,,,
1662,88,1.514852405,16.34600067,23.79000092,0.073973298,23.20000076,,24.76177842,,,,,1.454965867,16.19671962,23.5656742,,,,,,,,,,,,,,
1662,89,1.514799953,16.39599991,23.79000092,0.073973298,23.20000076,,24.83665988,,,,,1.454915488,16.24671886,23.6376029,,,,,,,,,,,,,,
1662,90,1.514669776,16.43899918,23.79000092,0.073973298,23.20000076,,24.8996552,,,,,1.454790458,16.28971813,23.69812649,,,,,,,,,,,,,,
1662,91,1.51437366,16.47999954,23.79000092,0.073973298,23.20000076,,24.95687722,,,,,1.454506048,16.33071849,23.75312882,,,,,,,,,,,,,,
1662,92,1.514099956,16.51600075,23.79000092,0.073973298,23.20000076,,25.006876,,,,,1.454243164,16.3667197,23.80119024,,,,,,,,,,,,,,
1662,93,1.51290834,16.61199951,23.79000092,0.073973298,23.20000076,,25.1324326,,,,,1.453098656,16.46271846,23.92195407,,,,,,,,,,,,,,
1662,94,1.512400031,16.65099907,23.79000092,0.073973298,23.20000076,,25.18297151,,,,,1.452610443,16.50171802,23.97056792,,,,,,,,,,,,,,
1662,95,1.512136936,16.68000031,23.79000092,0.073973298,23.20000076,,25.22244456,,,,,1.452357749,16.53071925,24.0085182,,,,,,,,,,,,,,
1662,96,1.51183331,16.70899963,23.79000092,0.073973298,23.20000076,,25.26122223,,,,,1.452066126,16.55971858,24.04580641,,,,,,,,,,,,,,
1662,97,1.511500001,16.73999977,23.79000092,0.073973298,23.20000076,,25.30250967,,,,,1.451745993,16.59071872,24.08550943,,,,,,,,,,,,,,
1662,98,1.511368156,16.76300049,23.79000092,0.073973298,23.20000076,,25.33506513,,,,,1.45161936,16.61371944,24.11679678,,,,,,,,,,,,,,
1662,99,1.511085033,16.78800011,23.79000092,0.073973298,23.20000076,,25.3680957,,,,,1.451347431,16.63871906,24.14856215,,,,,,,,,,,,,,
1662,100,1.510428309,16.84399986,23.79000092,0.073973298,23.20000076,,25.44165424,,,,,1.450716669,16.69471881,24.21930686,,,,,,,,,,,,,,
1662,101,1.509813547,16.87800026,23.79000092,0.073973298,23.20000076,,25.48263344,,,,,1.45012621,16.72871921,24.25875418,,,,,,,,,,,,,,
1662,102,1.509299994,16.90600014,23.79000092,0.073973298,23.20000076,,25.5162259,,,,,1.449632959,16.75671909,24.29109227,,,,,,,,,,,,,,
1662,103,1.509257793,16.93000031,23.79000092,0.073973298,23.20000076,,25.5517349,,,,,1.449592427,16.78071925,24.32520355,,,,,,,,,,,,,,
1662,104,1.509153366,16.97900009,23.79000092,0.073973298,23.20000076,,25.62391514,,,,,1.449492128,16.82971904,24.39454526,,,,,,,,,,,,,,
1662,105,1.508846164,17.02000046,23.79000092,0.073973298,23.20000076,,25.6805624,,,,,1.44919707,16.87071941,24.44899714,,,,,,,,,,,,,,
1662,106,1.508490443,17.06500053,23.79000092,0.073973298,23.20000076,,25.74239022,,,,,1.448855412,16.91571948,24.50843173,,,,,,,,,,,,,,
1662,107,1.508009434,17.1060009,23.79000092,0.073973298,23.20000076,,25.79601073,,,,,1.448393418,16.95671985,24.56000143,,,,,,,,,,,,,,
1662,108,1.507265925,17.16699982,23.79000092,0.073973298,23.20000076,,25.87523387,,,,,1.447679303,17.01771877,24.63619925,,,,,,,,,,,,,,
1662,109,1.506800056,17.20299912,23.79000092,0.073973298,23.20000076,,25.92148002,,,,,1.447231851,17.05371806,24.68068395,,,,,,,,,,,,,,
1662,110,1.506388068,17.23200035,23.79000092,0.073973298,23.20000076,,25.95807972,,,,,1.44683615,17.0827193,24.71589583,,,,,,,,,,,,,,
1662,111,1.505763888,17.27499962,23.79000092,0.073973298,23.20000076,,26.0120706,,,,,1.446236646,17.12571857,24.76784178,,,,,,,,,,,,,,
1662,112,1.504493833,17.35099983,23.79000092,0.073973298,23.20000076,,26.10447224,,,,,1.445016799,17.20171878,24.85677262,,,,,,,,,,,,,,
1662,113,1.504099965,17.37400055,23.79000092,0.073973298,23.20000076,,26.13223362,,,,,1.444638503,17.2247195,24.88349298,,,,,,,,,,,,,,
1662,114,1.503700018,17.40099907,23.79000092,0.073973298,23.20000076,,26.16588261,,,,,1.444254366,17.25171802,24.91586908,,,,,,,,,,,,,,
1662,115,1.503378391,17.42700005,23.79000092,0.073973298,23.20000076,,26.19937529,,,,,1.443945455,17.277719,24.94808381,,,,,,,,,,,,,,
1662,116,1.503000021,17.45700073,23.79000092,0.073973298,23.20000076,,26.23787247,,,,,1.443582042,17.30771968,24.98511333,,,,,,,,,,,,,,
1662,117,1.502772331,17.4810009,23.79000092,0.073973298,23.20000076,,26.26996447,,,,,1.443363354,17.33171985,25.01596929,,,,,,,,,,,,,,
1662,118,1.502431274,17.50900078,23.79000092,0.073973298,23.20000076,,26.30607034,,,,,1.443035779,17.35971973,25.05069668,,,,,,,,,,,,,,
1662,119,1.50199604,17.54100037,23.79000092,0.073973298,23.20000076,,26.34651309,,,,,1.442617752,17.39171932,25.08960302,,,,,,,,,,,,,,
1662,120,1.501402974,17.57299995,23.79000092,0.073973298,23.20000076,,26.38415439,,,,,1.442048131,17.4237189,25.12584129,,,,,,,,,,,,,,
1662,121,1.500800014,17.60499954,23.79000092,0.073973298,23.20000076,,26.42158355,,,,,1.441469008,17.45571849,25.16187721,,,,,,,,,,,,,,
1662,122,1.500065446,17.64999962,23.79000092,0.073973298,23.20000076,,26.47615455,,,,,1.44076348,17.50071857,25.21439618,,,,,,,,,,,,,,
1662,123,1.499600053,17.6779995,23.79000092,0.073973298,23.20000076,,26.50992898,,,,,1.440316485,17.52871845,25.24690214,,,,,,,,,,,,,,
1662,124,1.499181867,17.70599937,23.79000092,0.073973298,23.20000076,,26.54451319,,,,,1.439914831,17.55671832,25.2801791,,,,,,,,,,,,,,
